Location,Beds,Baths,Toilets,Price,Property Type,Purchase Type
Kileleshwa Nairobi,3,3,3,"KSh 18,000,000",Apartment,Sale
Riverside Nairobi,beds,baths,Toilets,"KSh 190,000,000",Other,Sale
Parklands Nairobi,3,3,3,"KSh 18,000,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 22,000,000",Apartment,Sale
Parklands Nairobi,4,4,4,"KSh 18,000,000",Apartment,Sale
Westlands Nairobi,2,2,2,"$ 25,000,000",Apartment,Sale
Parklands Nairobi,beds,baths,Toilets,"KSh 17,000,000",Other,Sale
Parklands Nairobi,4,4,4,"KSh 23,500,000",Apartment,Sale
Runda Nairobi,4,4,4,"KSh 70,000,000",House,Sale
Ruai Nairobi,beds,baths,Toilets,"KSh 36,500,000",Other,Sale
Lavington Nairobi,4,4,4,"KSh 25,000,000",Apartment,Sale
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 69,000,000",House,Sale
Westlands Nairobi,3,3,3,"KSh 13,000,000",Apartment,Sale
Westlands Nairobi,beds,baths,Toilets,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"$ 7,000,000",Apartment,Sale
Westlands Nairobi,3,3,3,"KSh 30,000,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 8,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 6,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 10,900,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,3,3,3,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 13,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,3,4,"KSh 11,000,000",Apartment,Sale
Embakasi Nairobi,beds,baths,Toilets,"KSh 375,000,000",House,Sale
Makadara Nairobi,3,3,3,"KSh 8,950,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 15,500,000",Apartment,Sale
Ngong Rd Nairobi,2,3,3,"KSh 5,500,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,2,2,2,"KSh 8,950,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,3,3,3,"KSh 12,950,000",Apartment,Sale
Kilimani Nairobi,3,5,5,"KSh 22,152,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 25,810,000",Apartment,Sale
Westlands Nairobi,1,2,2,"KSh 21,600,000",Apartment,Sale
Westlands Nairobi,2,1,1,"KSh 27,000,000",Apartment,Sale
Embakasi Nairobi,7,8,8,"KSh 90,000,000",Other,Sale
Kitisuru Nairobi,4,4,4,"KSh 15,000,000",House,Sale
"Mbagathi, Nairobi Central Nairobi",3,3,3,"KSh 8,500,000",Apartment,Sale
"Mbagathi, Nairobi Central Nairobi",2,2,2,"KSh 6,500,000",Apartment,Sale
Kitisuru Nairobi,4,5,5,"KSh 15,000,000",Apartment,Sale
Kilimani Nairobi,4,6,6,"KSh 30,000,000",Apartment,Sale
Imara Daima Nairobi,2,3,3,"KSh 7,800,000",Apartment,Sale
Kileleshwa Nairobi,5,5,5,"KSh 35,000,000",House,Sale
Kilimani Nairobi,3,3,3,"KSh 16,500,000",Apartment,Sale
Lower Kabete Nairobi,5,6,6,"KSh 185,000,000",House,Sale
Lower Kabete Nairobi,3,4,4,"KSh 95,000,000",House,Sale
Karen Nairobi,4,5,5,"KSh 75,000,000",House,Sale
Karen Nairobi,4,5,5,"KSh 85,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 170,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 105,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 99,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 70,000,000",House,Sale
Westlands Nairobi,3,4,4,"KSh 20,000,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 10,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 6,950,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,2,3,4,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,4,4,4,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 10,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Valley Arcade Nairobi,2,2,3,"KSh 11,500,000",Apartment,Sale
Valley Arcade Nairobi,2,2,2,"KSh 10,500,000",Apartment,Sale
Valley Arcade Nairobi,2,2,2,"KSh 9,500,000",Apartment,Sale
Valley Arcade Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Valley Arcade Nairobi,1,1,1,"KSh 6,500,000",Apartment,Sale
Westlands Nairobi,5,7,7,"KSh 45,000,000",House,Sale
Kilimani Nairobi,2,2,2,"KSh 15,500,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 23,000,000",Apartment,Sale
Lavington Nairobi,3,3,3,"KSh 16,000,000",Apartment,Sale
Kileleshwa Nairobi,5,7,7,"KSh 290,000,000",House,Sale
Ruaka Nairobi,2,2,2,"KSh 8,000,000",Apartment,Sale
Ruaka Nairobi,2,2,2,"KSh 8,500,000",Apartment,Sale
Westlands Nairobi,3,3,3,"KSh 19,000,000",Apartment,Sale
Westlands Nairobi,2,2,2,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 9,000,000",Apartment,Sale
Lavington Nairobi,5,7,7,"KSh 55,000,000",House,Sale
Kileleshwa Nairobi,3,4,4,"KSh 19,955,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 13,600,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 8,800,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 9,000,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 11,000,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 12,000,000",Apartment,Sale
Kileleshwa Nairobi,2,1,1,"KSh 7,500,000",Apartment,Sale
Kileleshwa Nairobi,2,1,1,"KSh 8,500,000",Apartment,Sale
Kileleshwa Nairobi,beds,1,1,"KSh 3,600,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 13,000,000",Apartment,Sale
Kahawa West Nairobi,3,2,2,"KSh 8,300,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 12,000,000",Apartment,Sale
Kileleshwa Nairobi,4,6,6,"KSh 19,000,000",Apartment,Sale
Ruaka Nairobi,beds,baths,Toilets,"KSh 19,000,000",Other,Sale
"OFF OLOITOK TOK RD, Kileleshwa Nairobi",4,4,5,"KSh 23,000,000",Apartment,Sale
Mlolongo Nairobi,4,3,3,"KSh 15,000,000",Other,Sale
Lavington Nairobi,2,3,3,"KSh 11,500,000",Apartment,Sale
Syokimau Nairobi,3,3,3,"KSh 7,500,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 19,500,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,beds,baths,Toilets,"KSh 8,950,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 16,950,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,3,5,5,"KSh 16,950,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 19,500,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Lavington Nairobi,beds,baths,Toilets,"KSh 165,000,000",Other,Sale
South B Nairobi,2,2,2,"KSh 6,500,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
South B Nairobi,3,2,2,"KSh 6,500,000",Apartment,Sale
Langata Nairobi,3,2,2,"KSh 20,000,000",House,Sale
Kileleshwa Nairobi,3,4,4,"KSh 10,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
South C Nairobi,4,2,2,"KSh 21,000,000",House,Sale
Kileleshwa Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
South C Nairobi,2,2,2,"KSh 10,450,000",Apartment,Sale
South C Nairobi,1,1,1,"KSh 7,300,000",Apartment,Sale
Runda Nairobi,5,7,7,"KSh 135,000,000",House,Sale
Kilimani Nairobi,3,3,3,"KSh 11,600,000",Apartment,Sale
Thika Road Nairobi,beds,baths,Toilets,"KSh 6,500,000",Other,Sale
Kahawa Wendani Nairobi,2,1,1,"KSh 6,500,000",Apartment,Sale
Kahawa Wendani Nairobi,3,3,3,"KSh 7,500,000",Apartment,Sale
Kahawa Wendani Nairobi,3,3,3,"KSh 6,500,000",Apartment,Sale
Ruaka Nairobi,3,3,3,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 13,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Riverside Nairobi,beds,baths,Toilets,"KSh 85,000,000",Other,Sale
Garden Estate Nairobi,5,6,6,"KSh 85,000,000",House,Sale
Lavington Nairobi,5,5,5,"KSh 50,000,000",House,Sale
"Akiba, Nairobi Central Nairobi",4,2,2,"KSh 16,000,000",House,Sale
Kilimani Nairobi,4,4,4,"KSh 20,000,000",House,Sale
Kilimani Nairobi,4,4,4,"KSh 25,000,000",Apartment,Sale
Mlolongo Nairobi,5,3,3,"KSh 14,000,000",House,Sale
Kileleshwa Nairobi,2,3,3,"KSh 16,000,000",Apartment,Sale
Embakasi Nairobi,beds,baths,Toilets,"KSh 495,000,000",House,Sale
Kilimani Nairobi,3,3,3,"KSh 13,600,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 9,000,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 8,800,000",Apartment,Sale
Ngong Rd Nairobi,2,3,3,"KSh 6,950,000",Apartment,Sale
Riruta Nairobi,3,2,2,"KSh 9,000,000",Apartment,Sale
Githurai Nairobi,3,2,2,"KSh 9,500,000",Apartment,Sale
Githurai Nairobi,2,2,2,"KSh 8,500,000",Apartment,Sale
Nairobi Central Nairobi,4,5,5,"KSh 14,000,000",House,Sale
Karen Nairobi,4,4,4,"KSh 250,000,000",House,Sale
Embakasi Nairobi,3,2,2,"KSh 14,000,000",Apartment,Sale
Kileleshwa Nairobi,0,0,0,"KSh 395,000,000",Apartment,Sale
Syokimau Nairobi,4,3,3,"KSh 15,500,000",House,Sale
Kileleshwa Nairobi,2,3,3,"KSh 285,000,000",Apartment,Sale
Kileleshwa Nairobi,5,5,5,"KSh 290,000,000",House,Sale
Kileleshwa Nairobi,3,5,5,"KSh 16,000,000",Apartment,Sale
Kileleshwa Nairobi,4,4,4,"KSh 59,500,000",House,Sale
Langata Nairobi,3,3,3,"KSh 15,000,000",House,Sale
Utawala Nairobi,beds,baths,Toilets,"KSh 3,500,000",Other,Sale
Embakasi Nairobi,3,2,2,"KSh 9,000,000",House,Sale
Kilimani Nairobi,3,3,3,"KSh 18,000,000",Apartment,Sale
Westlands Nairobi,3,3,3,"KSh 13,500,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 9,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,3,3,4,"KSh 10,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 4,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 4,500,000",Apartment,Sale
Riruta Nairobi,beds,1,1,"KSh 2,000,000",Apartment,Sale
Riruta Nairobi,1,1,1,"KSh 3,000,000",Apartment,Sale
Riruta Nairobi,2,1,1,"KSh 4,000,000",Apartment,Sale
Spring Valley Nairobi,4,6,6,"KSh 45,000,000",Apartment,Sale
Parklands Nairobi,beds,baths,Toilets,"KSh 671,000",Other,Sale
Ruaka Nairobi,2,2,2,"KSh 8,400,000",Apartment,Sale
Pangani Nairobi,2,2,2,"KSh 6,000,000",Apartment,Sale
Embakasi Nairobi,3,5,5,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,3,5,5,"KSh 22,500,000",Apartment,Sale
South C Nairobi,5,4,4,"KSh 40,500,000",House,Sale
South C Nairobi,4,3,3,"KSh 27,250,000",House,Sale
South C Nairobi,4,3,3,"KSh 22,500,000",House,Sale
Westlands Nairobi,2,2,2,"KSh 19,000,000",Apartment,Sale
Kileleshwa Nairobi,4,6,6,"KSh 19,500,000",Apartment,Sale
Nairobi Cbd Nairobi,beds,baths,Toilets,"KSh 240,000,000",Other,Sale
South C Nairobi,3,4,4,"KSh 40,000,000",House,Sale
Westlands Nairobi,4,6,6,"KSh 24,500,000",Apartment,Sale
Kileleshwa Nairobi,4,4,4,"KSh 45,000,000",Apartment,Sale
Runda Nairobi,5,5,5,"KSh 35,000,000",House,Sale
Syokimau Nairobi,5,3,3,"KSh 23,000,000",House,Sale
Kileleshwa Nairobi,4,5,5,"KSh 24,000,000",Apartment,Sale
Kileleshwa Nairobi,4,4,5,"KSh 22,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 21,200,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 19,500,000",Apartment,Sale
Lavington Nairobi,5,5,5,"KSh 60,000,000",House,Sale
ngong rd Kilimani Nairobi,1,1,1,"KSh 1,900,000",Apartment,Sale
ngong rd Kilimani Nairobi,1,1,1,"KSh 4,000,000",Apartment,Sale
ngong rd Kilimani Nairobi,2,2,2,"KSh 5,800,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 11,000,000",Apartment,Sale
Kitisuru Nairobi,6,8,8,"KSh 50,000,000",House,Sale
Kileleshwa Nairobi,5,5,5,"KSh 45,000,000",Apartment,Sale
South B Nairobi,4,2,2,"KSh 18,500,000",House,Sale
Ngong Rd Nairobi,beds,baths,Toilets,"KSh 25,000,000",Other,Sale
Syokimau Nairobi,3,3,3,"KSh 8,500,000",Apartment,Sale
Syokimau Nairobi,4,4,4,"KSh 13,000,000",House,Sale
Umoja Nairobi,beds,baths,Toilets,"KSh 1,600,000",Other,Sale
Pangani Nairobi,5,3,3,"KSh 75,000,000",House,Sale
Kileleshwa Nairobi,3,3,3,"KSh 13,950,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,3,3,3,"KSh 11,950,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 7,900,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 6,000,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,3,5,5,"KSh 23,065,471",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 10,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Westlands Nairobi,2,3,Toilets,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 5,000,000",Apartment,Sale
Kileleshwa Nairobi,2,4,4,"KSh 13,770,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 10,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,5,"KSh 12,000,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 13,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 4,300,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 4,500,000",Apartment,Sale
Kileleshwa Nairobi,5,6,6,"KSh 30,000,000",Apartment,Sale
Kileleshwa Nairobi,5,6,6,"KSh 30,000,000",Apartment,Sale
Kileleshwa Nairobi,5,6,6,"KSh 37,000,000",Apartment,Sale
Kileleshwa Nairobi,5,6,6,"KSh 37,000,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 16,500,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 15,500,000",Apartment,Sale
Kilimani Nairobi,3,5,5,"KSh 19,800,000",Apartment,Sale
Kilimani Nairobi,2,4,4,"KSh 13,000,000",House,Sale
Langata Nairobi,4,3,3,"KSh 19,000,000",House,Sale
Kileleshwa Nairobi,2,3,3,"KSh 16,000,000",Apartment,Sale
Kitisuru Nairobi,4,4,4,"KSh 70,000,000",House,Sale
Kilimani Nairobi,2,3,3,"KSh 15,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 23,000,000",Apartment,Sale
Kileleshwa Nairobi,beds,1,1,"KSh 3,600,000",Apartment,Sale
Kileleshwa Nairobi,2,2,2,"KSh 7,500,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 12,000,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 11,000,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 8,500,000",Apartment,Sale
Donholm Nairobi,4,5,5,"KSh 23,000,000",House,Sale
Kilimani Nairobi,2,3,3,"KSh 8,500,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 8,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,500,000",House,Sale
Syokimau Nairobi,3,3,3,"KSh 8,700,000",House,Sale
Kilimani Nairobi,beds,1,1,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,1,2,2,"KSh 7,200,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 13,600,000",Apartment,Sale
Westlands Nairobi,1,3,3,"KSh 12,751,250",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 21,210,000",House,Sale
Langata Nairobi,3,5,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,4,4,4,"KSh 59,500,000",House,Sale
Westlands Nairobi,4,6,6,"KSh 35,000,000",Apartment,Sale
Kilimani Nairobi,4,6,6,"KSh 30,000,000",Apartment,Sale
Lavington Nairobi,5,7,7,"KSh 72,000,000",House,Sale
Lavington Nairobi,6,8,8,"KSh 80,000,000",House,Sale
Lavington Nairobi,5,7,7,"KSh 73,000,000",House,Sale
Westlands Nairobi,3,5,5,"KSh 26,000,000",House,Sale
Komarock Nairobi,2,3,3,"KSh 5,800,000",Apartment,Sale
Kiambu Road Nairobi,3,3,3,"KSh 21,000,000",House,Sale
Kiambu Road Nairobi,4,3,3,"KSh 22,500,000",House,Sale
Kiambu Road Nairobi,5,4,4,"KSh 27,445,000",House,Sale
Kilimani Nairobi,2,4,4,"KSh 9,500,000",Apartment,Sale
Kilimani Nairobi,2,4,4,"KSh 7,500,000",Apartment,Sale
Westlands Nairobi,2,2,2,"KSh 10,000,000",Apartment,Sale
Westlands Nairobi,1,2,2,"KSh 8,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 6,500,000",Apartment,Sale
Lavington Nairobi,4,5,5,"KSh 55,000,000",House,Sale
Lavington Nairobi,4,5,5,"KSh 55,000,000",House,Sale
Lavington Nairobi,5,6,6,"KSh 55,000,000",House,Sale
Lavington Nairobi,5,6,6,"KSh 55,000,000",House,Sale
Nairobi Central Nairobi,3,3,3,"KSh 20,000,000",House,Sale
Komarock Nairobi,2,3,3,"KSh 5,800,000",House,Sale
Lavington Nairobi,5,3,3,"KSh 50,000,000",House,Sale
Ngara Nairobi,beds,baths,Toilets,"KSh 200,000,000",Apartment,Sale
Nairobi Cbd Nairobi,beds,baths,Toilets,"KSh 10,000,000",Other,Sale
Lower Kabete Nairobi,beds,baths,Toilets,"KSh 80,000,000",Other,Sale
Kileleshwa Nairobi,3,5,5,"KSh 25,000,000",House,Sale
Loresho Nairobi,3,5,5,"KSh 17,000,000",Apartment,Sale
Loresho Nairobi,2,4,4,"KSh 15,000,000",Apartment,Sale
Ngong Rd Nairobi,2,3,3,"KSh 8,300,000",Apartment,Sale
Ngong Rd Nairobi,1,2,2,"KSh 6,600,000",Apartment,Sale
Ngong Rd Nairobi,beds,1,1,"KSh 4,700,000",Apartment,Sale
South B Nairobi,2,2,2,"KSh 5,500,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 5,000,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 20,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 10,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Westlands Nairobi,2,4,4,"KSh 20,000,000",House,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,3,5,5,"KSh 20,000,000",House,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Westlands Nairobi,2,4,4,"KSh 27,500,000",House,Sale
Westlands Nairobi,3,5,5,"KSh 36,000,000",House,Sale
Westlands Nairobi,4,6,6,"KSh 39,000,000",House,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Westlands Nairobi,4,6,6,"KSh 47,000,000",House,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Westlands Nairobi,4,6,6,"KSh 53,000,000",House,Sale
Westlands Nairobi,4,6,6,"KSh 57,000,000",House,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,3,5,5,"KSh 17,000,000",House,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 17,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 13,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Lavington Nairobi,5,5,5,"KSh 55,000,000",House,Sale
Spring Valley Nairobi,beds,baths,Toilets,"KSh 100,000,000",Other,Sale
Westlands Nairobi,beds,baths,Toilets,"KSh 11,000,000",Other,Sale
Runda Nairobi,7,9,9,"KSh 135,000,000",House,Sale
Kilimani Nairobi,1,1,1,"KSh 4,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 4,500,000",Apartment,Sale
Kileleshwa Nairobi,beds,baths,Toilets,KSh 0,Other,Sale
Lavington Nairobi,2,3,3,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,4,6,6,"KSh 43,264,600",Apartment,Sale
Kilimani Nairobi,4,6,6,"KSh 39,154,600",Apartment,Sale
Kilimani Nairobi,3,5,5,"KSh 20,193,800",Apartment,Sale
Kilimani Nairobi,2,4,4,"KSh 18,138,800",Apartment,Sale
Kilimani Nairobi,1,3,3,"KSh 11,138,100",Apartment,Sale
Kilimani Nairobi,beds,1,1,"KSh 6,713,000",Apartment,Sale
Muthaiga Nairobi,7,9,9,"KSh 130,000,000",House,Sale
Karen Nairobi,beds,baths,Toilets,"KSh 80,000,000",Other,Sale
Riverside Nairobi,3,3,3,"KSh 23,000,000",House,Sale
Lavington Nairobi,beds,baths,Toilets,"KSh 250,000,000",Other,Sale
